player;nationality;position;team;age;matches;minutes;goals;assists;xg;tm_name_match;market_value_euro;tm_position;last_update;kpi_cost_per_goal;kpi_moneyball
Jean Meneses;CHI;Atacante;Vasco da Gama;31;1;1;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Ramon Menezes Roma;BRA;Defensor;Sport Recife;29;23;1876;1;0;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Menino;BRA;Meio-Campista;Atlético Mineiro;24;23;889;1;1;0.9;Gabriel Menino;6000000.0;Meia Central;10/12/2025;6000000.0;4.83
Gabriel Mercado;ARG;Defensor;Internacional;37;14;1195;1;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Micael;BRA;Defensor;Palmeiras;24;16;1295;0;1;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Michael;BRA;Atacante;Flamengo;28;15;621;1;3;2.1;N/A;0.0;N/A;N/A;0.0;0.0
Carlos Miguel;BRA;Goleiro;Palmeiras;26;9;810;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Fernando Miguel;BRA;Goleiro;Ceará;39;8;657;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Moises;BRA;Atacante;Fortaleza;28;12;385;0;1;0.9;N/A;0.0;N/A;N/A;0.0;0.0
Miguel Monsalve;COL;Atacante;Grêmio;20;9;297;0;1;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Álvaro Montoro;ARG;Atacante;Botafogo (RJ);17;16;936;3;3;2.2;Álvaro Montoro;10000000.0;Meia Ofensivo;10/12/2025;3333333.33;8.2
Kauã Moraes;BRA;Defensor;Cruzeiro;18;5;197;0;0;0.0;Kauã Prates;6000000.0;Lateral Esq.;10/12/2025;0.0;0.0
Aníbal Moreno;ARG;Meio-Campista;Palmeiras;25;28;1805;0;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Santiago Moreno;COL;Atacante;Fluminense;24;5;154;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Henry Mosquera;COL;Atacante;RB Bragantino;23;17;771;0;0;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo Mosquito;BRA;Atacante;Vitória;27;10;480;0;2;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Hugo Moura;BRA;Meio-Campista;Vasco da Gama;27;33;2411;0;1;0.6;Hugo Souza;10000000.0;Goleiro;10/12/2025;0.0;1.6
Lucas Moura;BRA;Atacante;São Paulo;32;11;451;2;0;1.5;N/A;0.0;N/A;N/A;0.0;0.0
Neto Moura;BRA;Meio-Campista;Mirassol;28;34;2428;1;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Mugni;ARG;Meio-Campista;Ceará;33;33;1714;2;6;2.0;N/A;0.0;N/A;N/A;0.0;0.0
Alex Muralha;BRA;Goleiro;Mirassol;35;7;630;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
