player;nationality;position;team;age;matches;minutes;goals;assists;xg
Guilherme Estrella;BRA;Meio-Campista;Vasco da Gama;19;1;19;0;0;0.0
Lucas Evangelista;BRA;Meio-Campista;Palmeiras;29;19;1046;2;1;1.1
Éverson;BRA;Goleiro;Atlético Mineiro;34;36;3240;0;0;0.0
Evertton;BRA;Meio-Campista;Flamengo;21;18;981;1;0;0.3
Ewerton;BRA;Defensor;Juventude;24;18;1155;1;0;1.5
Fabinho;BRA;Meio-Campista;RB Bragantino;22;28;1275;0;1;0.4
Fábio;BRA;Goleiro;Fluminense;44;38;3420;0;0;0.0
Fabrício;BRA;Atacante;Mirassol;27;8;301;0;0;0.5
Fabrício;BRA;Atacante;Vitória;24;17;393;0;2;1.0
Fagner;BRA;Defensor;Cruzeiro;35;10;830;0;0;0.1
Marcos Felipe;BRA;Goleiro;Bahia;28;11;972;0;0;0.0
Lucas Fernandes;BRA;Meio-Campista;Juventude;27;7;397;0;0;0.4
Matheus Fernandes;BRA;Meio-Campista;RB Bragantino;26;20;661;1;0;0.4
Nathan Fernandes;BRA;Atacante;Botafogo (RJ);19;10;330;1;2;1.4
Fernandinho;BRA;Atacante;Ceará;27;22;995;0;1;2.2
Fernando;BRA;Meio-Campista;Internacional;37;6;412;0;0;0.4
Fernando;BRA;Atacante;RB Bragantino;25;14;316;0;0;1.2
Nahuel Ferraresi;VEN;Defensor;São Paulo;26;24;1797;0;3;0.5
Ferreira;BRA;Atacante;São Paulo;27;28;1580;5;4;4.5
Bruno Ferreira;BRA;Goleiro;Ceará;30;31;2763;0;0;0.0
Lucas Ferreira;BRA;Atacante;São Paulo;18;13;761;0;0;1.1
Luiz Filipe;BRA;Atacante;Mirassol;23;1;14;0;0;0.0
André Filipinho;BRA;Defensor;Juventude;28;5;303;0;0;0.1
Riquelme Fillipi;BRA;Defensor;Palmeiras;18;2;28;0;0;0.1
Caíque França;BRA;Goleiro;Sport Recife;29;15;1350;0;0;0.0
Matheus França;BRA;Meio-Campista;Vasco da Gama;20;15;386;0;0;0.5
Ryan Francisco;BRA;Atacante;São Paulo;18;8;205;2;0;0.5
Alan Franco;ECU;Meio-Campista;Atlético Mineiro;26;30;2628;1;0;0.4
Alan Franco;ARG;Defensor;São Paulo;28;29;2282;0;0;1.1
Luan Freitas;BRA;Defensor;Juventude;24;14;1124;0;1;0.2
Lucas Freitas;BRA;Defensor;Vasco da Gama;24;21;1552;1;0;0.3
Marlon Freitas;BRA;Meio-Campista;Botafogo (RJ);29;35;2924;1;4;1.3
Riquelme Freitas;BRA;Atacante;Grêmio;18;10;388;0;0;0.3
Juan Freytes;ARG;Defensor;Fluminense;25;33;2924;0;0;1.0
Adonis Frías;ARG;Defensor;Santos;26;13;1112;0;0;0.2
Bruno Fuchs;BRA;Defensor;Palmeiras;25;27;1723;2;1;1.2
Gabriel Fuentes;COL;Defensor;Fluminense;27;11;825;0;0;0.2
Daniel Fuzato;BRA;Goleiro;Vasco da Gama;27;3;182;0;0;0.0
Gabriel;BRA;Defensor;Bahia;23;13;948;0;0;0.1
Gabriel;BRA;Meio-Campista;Mirassol;35;25;1592;4;2;3.1
Gabriel;BRA;Goleiro;Vitória;32;1;90;0;0;0.0
Gabriel;BRA;Goleiro;Sport Recife;32;23;2070;0;0;0.0
Gabriel;BRA;Meio-Campista;RB Bragantino;32;33;2634;1;0;0.6
Victor Gabriel;BRA;Defensor;Internacional;20;14;1109;2;0;1.0
Antonio Galeano;PAR;Atacante;Ceará;24;38;3125;7;3;5.2
Emerson Galego;BRA;Atacante;Juventude;25;2;27;0;0;0.0
Mateo Gamarra;PAR;Defensor;Cruzeiro;24;2;154;0;0;0.0
Ganso;BRA;Meio-Campista;Fluminense;35;17;644;1;0;0.6
Maurício Garcez;BRA;Atacante;Juventude;27;3;61;0;0;0.0
Benjamín Garré;ARG;Atacante;Vasco da Gama;24;10;293;0;0;0.1
Rodrigo Garro;ARG;Meio-Campista;Corinthians;27;19;1410;0;3;1.5
Lucas Gazal;BRA;Defensor;Fortaleza;25;7;546;0;1;0.4
Gerson;BRA;Atacante;Flamengo;27;9;711;0;2;0.7
Agustín Giay;ARG;Defensor;Palmeiras;21;29;1978;0;0;0.4
Gil;BRA;Defensor;Santos;37;8;720;0;0;0.4
Gilberto;BRA;Defensor;Bahia;31;23;1777;1;0;1.0
Gilberto;BRA;Atacante;Juventude;35;23;1099;2;2;2.6
Giovanny;BRA;Atacante;Juventude;27;19;653;0;2;1.0
Daniel Giraldo;COL;Meio-Campista;Juventude;32;15;681;0;0;0.0
Leonardo Godoy;ARG;Defensor;Santos;29;6;416;0;0;0.0
Davi Goes;BRA;Meio-Campista;Juventude;19;2;64;0;0;0.0
Johnny Góes;BRA;Defensor;Flamengo;17;1;90;0;1;0.0
Bruno Gomes;BRA;Meio-Campista;Internacional;23;14;981;0;2;0.4
Davi Gomes;BRA;Atacante;RB Bragantino;19;7;221;1;0;0.6
Fredi Gomes;BRA;Defensor;Bahia;18;1;90;0;0;0.0
Igor Gomes;BRA;Meio-Campista;Atlético Mineiro;25;34;1824;4;3;2.5
Carlos Gómez;COL;Atacante;Vasco da Gama;22;16;1028;1;5;2.6
Gustavo Gómez;PAR;Defensor;Palmeiras;31;27;2310;2;1;2.4
Nuno Gonçalo Moreira;POR;Atacante;Vasco da Gama;25;36;2549;7;5;3.9
Matheus Gonçalves;BRA;Atacante;Flamengo;19;4;69;0;0;0.0
Gregore;BRA;Meio-Campista;Botafogo (RJ);30;12;982;0;0;0.2
Guga;BRA;Defensor;Fluminense;26;17;992;1;1;0.1
Guilherme;BRA;Meio-Campista;Mirassol;33;12;539;2;0;1.0
Guilherme;BRA;Atacante;Santos;29;32;2250;4;7;4.9
Guilherme;BRA;Defensor;RB Bragantino;22;11;640;1;1;0.6
Guilherme;BRA;Meio-Campista;Flamengo;18;1;62;2;0;0.4
Ryan Guilherme;BRA;Meio-Campista;Cruzeiro;22;3;56;0;0;0.0
Zé Guilherme;BRA;Defensor;Bahia;19;3;86;0;0;0.1
Gustavinho;BRA;Meio-Campista;RB Bragantino;20;17;741;0;0;1.3
Gustavo;BRA;Goleiro;Juventude;31;10;855;0;0;0.0
Luiz Gustavo;BRA;Meio-Campista;São Paulo;37;12;780;1;0;0.5
Luiz Gustavo;BRA;Defensor;Vasco da Gama;18;5;288;0;0;0.0
Ryan Gustavo;BRA;Meio-Campista;Corinthians;21;16;527;0;0;0.1
Yeison Guzmán;COL;Meio-Campista;Fortaleza;26;5;188;0;0;0.0
Lucas Halter;BRA;Defensor;Vitória;24;33;2904;4;1;3.1
Héctor;ESP;Atacante;Corinthians;29;9;246;1;0;0.5
Henrique;BRA;Atacante;São Paulo;18;3;43;0;1;0.0
Bruno Henrique;BRA;Meio-Campista;Internacional;35;29;1397;2;0;2.5
Bruno Henrique;BRA;Atacante;Flamengo;34;32;1811;8;0;7.2
Dalbert Henrique;BRA;Defensor;Sport Recife;31;5;110;0;0;0.0
Gustavo Henrique;BRA;Defensor;Corinthians;31;23;2070;3;0;2.9
Matheus Henrique;BRA;Meio-Campista;Cruzeiro;27;17;723;0;0;0.2
Paulo Henrique;BRA;Defensor;Vasco da Gama;28;28;2490;1;8;1.9
Pedro Henrique;BRA;Atacante;Ceará;34;28;1380;4;3;2.9
Pedro Henrique;BRA;Defensor;RB Bragantino;29;31;2654;1;1;0.8
Hércules;BRA;Meio-Campista;Fluminense;24;34;2160;3;1;1.9
Diogo Hereda;BRA;Defensor;Sport Recife;26;11;848;0;1;0.2
Marcelo Hermes;BRA;Defensor;Juventude;29;22;1858;2;5;1.1
José Herrera;ARG;Atacante;Fortaleza;21;19;1046;2;3;2.6
Lucca Holanda;BRA;Atacante;Ceará;21;1;12;0;0;0.0
Lucca Holanda;BRA;Atacante;Internacional;21;4;161;0;0;0.5
Hudson;BRA;Meio-Campista;Juventude;24;4;233;0;0;0.0
Hugo;BRA;Defensor;Corinthians;27;10;457;0;0;0.4
Victor Hugo;BRA;Meio-Campista;Santos;20;9;443;0;0;0.4
Victor Hugo;BRA;Defensor;Sport Recife;16;1;61;0;0;0.0
Victor Hugo;BRA;Meio-Campista;Flamengo;20;1;6;0;0;0.0
Vitor Hugo;BRA;Defensor;Atlético Mineiro;33;23;1639;3;0;1.2
Huguinho;BRA;Meio-Campista;Botafogo (RJ);17;1;24;0;0;0.0
Hulk;BRA;Atacante;Atlético Mineiro;38;33;2438;8;6;5.6
José Hurtado;ECU;Defensor;RB Bragantino;23;28;1864;1;0;0.4
Hyan;BRA;Meio-Campista;Santos;20;2;18;0;0;0.0
Hyoran;BRA;Meio-Campista;Sport Recife;31;12;402;0;1;0.6
Iago;BRA;Defensor;Bahia;27;15;626;1;0;0.9
Iago;BRA;Defensor;Flamengo;19;1;90;0;0;0.0
Ignácio;BRA;Defensor;Fluminense;28;19;1147;0;0;0.2
Juan Ignacio Dinenno;ARG;Atacante;Cruzeiro;30;1;12;0;0;0.0
Juan Ignacio Dinenno;ARG;Atacante;São Paulo;30;7;262;1;0;1.0
Juan Ignacio Ramírez;URU;Atacante;Sport Recife;27;8;291;0;0;0.8
Isaac;BRA;Defensor;Atlético Mineiro;20;1;6;0;0;0.0
Isaque;BRA;Meio-Campista;Fluminense;17;1;22;0;0;0.0
Mateus Iseppe;BRA;Meio-Campista;Atlético Mineiro;18;1;3;0;0;0.0
Ismael;POR;Meio-Campista;Vitória;25;1;18;0;0;0.2
Zé Ivaldo;BRA;Defensor;Santos;27;21;1799;1;0;1.0
Ivan;BRA;Goleiro;Internacional;27;7;585;0;0;0.0
Leo Jacó;BRA;Atacante;Vasco da Gama;19;2;16;0;0;0.0
Jadson;BRA;Meio-Campista;Juventude;31;35;2831;0;2;1.0
Jair;BRA;Meio-Campista;Vasco da Gama;30;11;559;0;0;0.1
Jamerson;BRA;Defensor;Vitória;26;12;1026;0;2;0.4
Janderson;BRA;Atacante;Vitória;25;11;729;1;0;0.7
Jandrei;BRA;Goleiro;Juventude;31;19;1710;0;0;0.0
Jardiel;BRA;Atacante;Grêmio;19;5;41;0;0;0.3
Léo Jardim;BRA;Goleiro;Vasco da Gama;29;36;3235;0;0;0.0
Jeffinho;BRA;Atacante;Botafogo (RJ);25;17;685;2;4;1.2
Jefinho;BRA;Meio-Campista;Sport Recife;18;1;23;0;0;0.2
